Title,Total Price (PLN),Price per SQM (PLN),Rooms,Area (SQM),URL
Po remoncie/duży taras!,845000,15590,3,54.2,https://www.otodom.pl/pl/oferta/po-remoncie-duzy-taras-ID4AP6p
Gotowe | 2 Pokojowe Mieszkanie | 38m2 | Blisko Metro| Park | Uczelnie,665000,17500,2,38,https://www.otodom.pl/pl/oferta/gotowe-2-pokojowe-mieszkanie-38m2-blisko-metro-park-uczelnie-ID4BtyJ
Wiązana Residence,N/A,N/A,N/A,N/A,https://www.otodom.pl/pl/oferta/wiazana-residence-ID4ApkD
"Lokal B.5 | Wiązana Residence – mieszkanie, które daje komfort domu",1270000,11804,4,107.59,https://www.otodom.pl/pl/oferta/lokal-b-5-wiazana-residence-mieszkanie-ktore-daje-komfort-domu-ID4AsRW
"Lokal D.5 | Wiązana Residence – mieszkanie, które daje komfort domu",1270000,11804,4,107.59,https://www.otodom.pl/pl/oferta/lokal-d-5-wiazana-residence-mieszkanie-ktore-daje-komfort-domu-ID4AsXC
Apartamenty Berensona Warszawa Białołęka,769000,16159,2,47.59,https://www.otodom.pl/pl/oferta/apartamenty-berensona-warszawa-bialoleka-ID4BHCA
"Lokal C.4 | Wiązana Residence – mieszkanie, które daje komfort domu",1350000,10820,5,124.77,https://www.otodom.pl/pl/oferta/lokal-c-4-wiazana-residence-mieszkanie-ktore-daje-komfort-domu-ID4AsUx
"Lokal C.3 | Wiązana Residence – mieszkanie, które daje komfort domu",1270000,11804,4,107.59,https://www.otodom.pl/pl/oferta/lokal-c-3-wiazana-residence-mieszkanie-ktore-daje-komfort-domu-ID4AsTS
"Wawer, Pod klucz, Gotowe! Nowe! Ogródek!PROMOCJA !",1090000,13745,4,79.3,https://www.otodom.pl/pl/oferta/wawer-pod-klucz-gotowe-nowe-ogrodek-promocja-ID4Bgjq
Nowy Marysin VII,N/A,N/A,N/A,N/A,https://www.otodom.pl/pl/oferta/nowy-marysin-vii-ID4ul3p
4-pokojowe mieszkanie 87m2 + balkon,1452832,16600,4,87.52,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-87m2-balkon-ID4ul3z
3-pokojowe mieszkanie 61m2 + balkon,1014260,16600,3,61.1,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-61m2-balkon-ID4ul3q
2-pokojowe mieszkanie 46m2 + balkon Bez Prowizji,774379,16700,2,46.37,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-46m2-balkon-bez-prowizji-ID4ul3r
"Klucze od już! ostatnie dostępne 4 pokojowe,0% Pro",1384000,16282,4,85,https://www.otodom.pl/pl/oferta/klucze-od-juz-ostatnie-dostepne-4-pokojowe-0-pro-ID4BGDh
Białołęka ul. Aluzyjna ⭐2 pokoje / 51m2+balkon+garaż⭐przy Modlińskiej,680000,13386,2,50.8,https://www.otodom.pl/pl/oferta/bialoleka-ul-aluzyjna-2-pokoje-51m2-balkon-garazprzy-modlinskiej-ID4BIvK
"Nowe etapy-Rabat,blisko Metro Chrzanów,0% Prozwizj",644000,17644,2,36.5,https://www.otodom.pl/pl/oferta/nowe-etapy-rabat-blisko-metro-chrzanow-0-prozwizj-ID4BGDg
"Klucze od już!! 3pok,dostepne też większe metraże,",952000,17794,3,53.5,https://www.otodom.pl/pl/oferta/klucze-od-juz-3pok-dostepne-tez-wieksze-metraze-ID4BGDi
"Gotowe-3pok,64m2,0% Prozwizji,Promo 18500zł/m2",1182600,18591,3,63.61,https://www.otodom.pl/pl/oferta/gotowe-3pok-64m2-0-prozwizji-promo-18500zl-m2-ID4BGFZ
BEZPOŚREDNIO. Po remoncie 51m2 Dolny Mokotów. 2 pokoje z kuchnią,1000090,19726,2,50.7,https://www.otodom.pl/pl/oferta/bezposrednio-po-remoncie-51m2-dolny-mokotow-2-pokoje-z-kuchnia-ID4BNpk
Zaraz GOTOWE 4 pokoje+ GARAŻ/KOMÓRKA - 15min Centrum + Obok SKM_Zobacz,783210,12432,4,63,https://www.otodom.pl/pl/oferta/zaraz-gotowe-4-pokoje-garaz-komorka-15min-centrum-obok-skm-zobacz-ID4BNps
Mieszkanie gotowe do wprowadzenia | 37 m2,855000,23108,1,37,https://www.otodom.pl/pl/oferta/mieszkanie-gotowe-do-wprowadzenia-37-m2-ID4Bh9m
Stary Mokotów | Metro Racławicka | Piwnica w cenie,970000,17168,2,56.5,https://www.otodom.pl/pl/oferta/stary-mokotow-metro-raclawicka-piwnica-w-cenie-ID4BGZx
3-pok. mieszkanie | duzy balkon | piękny widok,1450000,20139,3,72,https://www.otodom.pl/pl/oferta/3-pok-mieszkanie-duzy-balkon-piekny-widok-ID4Anln
4 pokoje | z potencjałem | zielona okolica,980000,14962,4,65.5,https://www.otodom.pl/pl/oferta/4-pokoje-z-potencjalem-zielona-okolica-ID4BNpi
Ostatnie kawalerki Blisko METRO Karolin ☎️ Umów się na dni otwarte,463591,17279,1,26.83,https://www.otodom.pl/hpr/pl/oferta/ostatnie-kawalerki-blisko-metro-karolin-umow-sie-na-dni-otwarte-ID4BNs0
Przytulna kawalerka po remoncie | Metro Bródno | REZERWACJA,465000,18600,1,25,https://www.otodom.pl/pl/oferta/przytulna-kawalerka-po-remoncie-metro-brodno-rezerwacja-ID4BHjF
"BEZPOŚREDNIO mieszkanie na Saskiej Kępie 48,9 m2 + piwnica PO REMONCIE",895000,18303,2,48.9,https://www.otodom.pl/pl/oferta/bezposrednio-mieszkanie-na-saskiej-kepie-48-9-m2-piwnica-po-remoncie-ID4BDE0
OKAZJA! BEZPOŚREDNIO: 3 pokoje | najwyższe piętro | metro 500 m.,939000,14015,3,67,https://www.otodom.pl/pl/oferta/okazja-bezposrednio-3-pokoje-najwyzsze-pietro-metro-500-m-ID4xWiE
Stary Mokotów | Metro Racławicka | Piwnica w cenie,970000,17168,2,56.5,https://www.otodom.pl/pl/oferta/stary-mokotow-metro-raclawicka-piwnica-w-cenie-ID4BGZx
3-pok. mieszkanie | duzy balkon | piękny widok,1450000,20139,3,72,https://www.otodom.pl/pl/oferta/3-pok-mieszkanie-duzy-balkon-piekny-widok-ID4Anln
4 pokoje | z potencjałem | zielona okolica,980000,14962,4,65.5,https://www.otodom.pl/pl/oferta/4-pokoje-z-potencjalem-zielona-okolica-ID4BNpi
3 pokoje | komórka | garaż | widok na wodę i park,1100000,16418,3,67,https://www.otodom.pl/pl/oferta/3-pokoje-komorka-garaz-widok-na-wode-i-park-ID4BNph
Bemowo | 3 pokoje | do wprowadzenia | metro,1410000,20926,3,67.38,https://www.otodom.pl/pl/oferta/bemowo-3-pokoje-do-wprowadzenia-metro-ID4BNpf
"Mozaika Mokotów, inwestycyjne",870000,22895,2,38,https://www.otodom.pl/pl/oferta/mozaika-mokotow-inwestycyjne-ID4BNp6
Nowe 3 pokoje + GARAŻ/BOKS +TOP Lokalizacja_ Umów DNI OTWARTE I ZOBACZ,702700,14640,3,48,https://www.otodom.pl/pl/oferta/nowe-3-pokoje-garaz-boks-top-lokalizacja-umow-dni-otwarte-i-zobacz-ID4BNp4
4-pokoje|loggia|przestronne|słoneczne|dwustronne|Osiedle Wilno|duże,1303000,16371,4,79.59,https://www.otodom.pl/pl/oferta/4-pokoje-loggia-przestronne-sloneczne-dwustronne-osiedle-wilno-duze-ID4BuSk
"SUPER WIDOK, 3 -pokoje, STANDARD PREMIUM, nowe, BLISKO CENTRUM",1786000,31984,3,55.84,https://www.otodom.pl/pl/oferta/super-widok-3-pokoje-standard-premium-nowe-blisko-centrum-ID4BNoH
Najtańsze 2 pokoje + 15min Centrum + Umów DNI OTWARTE I ZOBACZ_ RABATY,491300,14888,2,33,https://www.otodom.pl/pl/oferta/najtansze-2-pokoje-15min-centrum-umow-dni-otwarte-i-zobacz-rabaty-ID4BNoF
Riviera⁵,N/A,N/A,N/A,N/A,https://www.otodom.pl/pl/oferta/riviera-ID4z9us
4-pokojowe mieszkanie 72m2 + loggia,989059,13571,4,72.88,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-72m2-loggia-ID4z9xn
3-pokojowe mieszkanie 55m2 + taras Bez Pośredników,780823,13978,3,55.86,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-55m2-taras-bez-posrednikow-ID4z9vM
2-pokojowe mieszkanie 43m2 + balkon Bez Prowizji,640486,14895,2,43,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-43m2-balkon-bez-prowizji-ID4z9uS
1-pokojowe mieszkanie 29m2 + balkon,478589,16109,1,29.71,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-29m2-balkon-ID4z9wl
⭐tarasy 11m | Promo | Wschód-Zachód Metro ⭐0% 2026,886120,17041,3,52,https://www.otodom.pl/pl/oferta/tarasy-11m-promo-wschod-zachod-metro-0-2026-ID4BNox
⭐promo - garaż 10 000zł Hit Ostatnie!!! Gotowe ⭐0%,492059,18224,1,27,https://www.otodom.pl/pl/oferta/promo-garaz-10-000zl-hit-ostatnie-gotowe-0-ID4BNov
"⭐ Doświetlone-2 strony | Ostatnie!! Balkon 8,5m⭐0%",781789,17373,2,45,https://www.otodom.pl/pl/oferta/doswietlone-2-strony-ostatnie-balkon-8-5m0-ID4BNor
⭐taras na dachu 51m + Balkon | Jedyne-Nie Czekaj ⭐,1622835,20035,4,81,https://www.otodom.pl/pl/oferta/taras-na-dachu-51m-balkon-jedyne-nie-czekaj-ID4BNow
Czerwcowa Wyprzedaż! Rabat -20% | Bez Pcc,570629,13780,2,41.41,https://www.otodom.pl/pl/oferta/czerwcowa-wyprzedaz-rabat-20-bez-pcc-ID4BNos
"⭐ 2 stronne-wschód,zachód Promo | Metro | 2026 0%⭐",989991,15469,4,64,https://www.otodom.pl/pl/oferta/2-stronne-wschod-zachod-promo-metro-2026-0-ID4BNot
Hit⭐ 3 strony świata | 2026 |  Metro⭐0% Promo!!!,714998,17875,2,40,https://www.otodom.pl/pl/oferta/hit-3-strony-swiata-2026-metro0-promo-ID4BNoq
⭐2026 !!! Metro | Słoneczne | Promo-nie czekaj⭐0%,646756,17965,2,36,https://www.otodom.pl/pl/oferta/2026-metro-sloneczne-promo-nie-czekaj0-ID4BNop
4-pokojowe mieszkanie 95m2 + ogródek Bezpośrednio,3164804,33184,4,95.37,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-95m2-ogrodek-bezposrednio-ID4wFBa
Apartament 81m2 + Loggia 6m2 - Goclaw - Garderoba - BEZPOŚREDNIO !!,1228900,15228,3,80.7,https://www.otodom.pl/pl/oferta/apartament-81m2-loggia-6m2-goclaw-garderoba-bezposrednio-ID4BuSV
Piękny prywatny OGRÓDEK 76m2 - super punkt blisko tramwaju!,707932,14032,3,50.45,https://www.otodom.pl/pl/oferta/piekny-prywatny-ogrodek-76m2-super-punkt-blisko-tramwaju-ID4BNoh
Zaraz GOTOWA KAWALERKA + 15min CENTRUM_ Obok SKM + Umów DNI OTWARTE,451990,15066,1,30,https://www.otodom.pl/pl/oferta/zaraz-gotowa-kawalerka-15min-centrum-obok-skm-umow-dni-otwarte-ID4BNof
3-pokojowe mieszkanie 72m2 + balkon,1380741,19008,3,72.64,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-72m2-balkon-ID4zWmI
2-pokojowe mieszkanie 39m2 + balkon Bez Prowizji,823744,21100,2,39.04,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-39m2-balkon-bez-prowizji-ID4uSk9
2-pokojowe mieszkanie 55m2 + 2 ogródki,900138,16175,2,55.65,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-55m2-2-ogrodki-ID4upF8
4-pokojowe mieszkanie 97m2 + balkon Bez Prowizji,2087356,21400,4,97.54,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-97m2-balkon-bez-prowizji-ID4uo8r
2-pokojowe mieszkanie 40m2 + ogródek,797940,19500,2,40.92,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-40m2-ogrodek-ID4upUP
Wyjątkowe dwupokojowe mieszkanie pośród trzech parków na Mokotowie,1049000,24038,2,43.64,https://www.otodom.pl/pl/oferta/wyjatkowe-dwupokojowe-mieszkanie-posrod-trzech-parkow-na-mokotowie-ID4BDW9
"BEZPOŚREDNIO 60 m² Stara Ochota, Kamienica, 3.1m wysokości, potencjał",1299000,21650,2,60,https://www.otodom.pl/pl/oferta/bezposrednio-60-m-stara-ochota-kamienica-3-1m-wysokosci-potencjal-ID4AubJ
2-pokojowe mieszkanie 37m2 + loggia Bezpośrednio,840000,22526,2,37.29,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-37m2-loggia-bezposrednio-ID4uDb9
"Ciche, ładne i ciepłe mieszkanie - bezpośrednio",780000,16490,2,47.3,https://www.otodom.pl/pl/oferta/ciche-ladne-i-cieple-mieszkanie-bezposrednio-ID4BNnt
Stary Mokotów | Metro Racławicka | Piwnica w cenie,970000,17168,2,56.5,https://www.otodom.pl/hpr/pl/oferta/stary-mokotow-metro-raclawicka-piwnica-w-cenie-ID4BGZx
2 pokojowe mieszkanie z balkonem do remontu,489000,12868,2,38,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-z-balkonem-do-remontu-ID4Av3H
"2 pokoje, gotowy budynek, bezpośrednio, bez PCC",760790,14900,2,51.06,https://www.otodom.pl/pl/oferta/2-pokoje-gotowy-budynek-bezposrednio-bez-pcc-ID4BwbY
"Nowe, 3 pokoje|Klimatyzacja|2 miejsca parkingowe|Balkon|Widok na patio",1590000,24844,3,64,https://www.otodom.pl/pl/oferta/nowe-3-pokoje-klimatyzacja-2-miejsca-parkingowe-balkon-widok-na-patio-ID4BLlG
1-pokojowe mieszkanie 28m2 + balkon Bezpośrednio,514448,18038,1,28.52,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-28m2-balkon-bezposrednio-ID4umet
"Warszawa | Al. Niepodległości  | 44,45 m² | 2 pokoje",950000,21372,2,44.45,https://www.otodom.pl/pl/oferta/warszawa-al-niepodleglosci-44-45-m-2-pokoje-ID4BEto
"Mieszkanie, 49,50 m², Warszawa",758000,15313,2,49.50,https://www.otodom.pl/pl/oferta/mieszkanie-49-50-m-warszawa-ID4BNn6
"Mieszkanie, 27,70 m², Warszawa",535000,19314,1,27.70,https://www.otodom.pl/pl/oferta/mieszkanie-27-70-m-warszawa-ID4BNn5
"2 pok METRO, PKP, HALA GARAŻOWA",595000,14512,2,41,https://www.otodom.pl/pl/oferta/2-pok-metro-pkp-hala-garazowa-ID4BMx3
Nowe 3 pokoje + GARAŻ/KOMÓRKA + 12 min do CENTRUM_ 300m do METRA,933000,15295,3,61,https://www.otodom.pl/pl/oferta/nowe-3-pokoje-garaz-komorka-12-min-do-centrum-300m-do-metra-ID4BNmZ
Nowe 1 pokój | blisko Metro| bez prowizji,14420,N/A,1,25.53,https://www.otodom.pl/pl/oferta/nowe-1-pokoj-blisko-metro-bez-prowizji-ID4BNmV
"91,6 m² + Komórka 3,3 m²+ Garaż + Balkon 6,3 m²",1459000,15933,3,91.6,https://www.otodom.pl/pl/oferta/91-6-m-komorka-3-3-m-garaz-balkon-6-3-m-ID4BmGe
Nowa Kawalerka_ IDEALNA POD INWESTYCJĘ!_ 20min Centrum_ Dni Otwarte,367000,14115,1,26,https://www.otodom.pl/pl/oferta/nowa-kawalerka-idealna-pod-inwestycje-20min-centrum-dni-otwarte-ID4BNmO
27 m² kawalerka | Centrum | Piwnica w cenie,615000,22778,1,27,https://www.otodom.pl/pl/oferta/27-m-kawalerka-centrum-piwnica-w-cenie-ID4ASgp
Nowe 2 pokoje! 300m do METRA!_ 13min CENTRUM_ Umów Dni Otwarte_ RABATY,594900,16525,2,36,https://www.otodom.pl/pl/oferta/nowe-2-pokoje-300m-do-metra-13min-centrum-umow-dni-otwarte-rabaty-ID4BNmK
3 pokoje z balkonem na zielonych Bielanach,680000,13895,3,48.94,https://www.otodom.pl/pl/oferta/3-pokoje-z-balkonem-na-zielonych-bielanach-ID4B7Q4
Metro Lazurowa / Dwa Poziomy / Dwa Tarasy,1399000,17466,4,80.1,https://www.otodom.pl/pl/oferta/metro-lazurowa-dwa-poziomy-dwa-tarasy-ID4zCCh
Nowe 2 Pokoje +20min do Centrum+ GARAŻ/BOKS+UMÓW DNI OTWARTE -->TERAZ,454000,13758,2,33,https://www.otodom.pl/pl/oferta/nowe-2-pokoje-20min-do-centrum-garaz-boks-umow-dni-otwarte-teraz-ID4BNmz
83 m²| 3 pokoje| Dwupoziomowe | Garaż | Antresola| RembertówI 800m PKP,829000,9988,3,83,https://www.otodom.pl/pl/oferta/83-m-3-pokoje-dwupoziomowe-garaz-antresola-rembertowi-800m-pkp-ID4BtGn
Nowa Kawalerka_TOP Lokalizacja_ 300m do METRA_ Umów Dni Otwarte_Zobacz,519600,19244,1,27,https://www.otodom.pl/pl/oferta/nowa-kawalerka-top-lokalizacja-300m-do-metra-umow-dni-otwarte-zobacz-ID4BNmb
Po generalnym remoncie. Mieszkanie 4 pokoje. Garaż. Miejsca postojowe.,1352000,13000,4,104,https://www.otodom.pl/pl/oferta/po-generalnym-remoncie-mieszkanie-4-pokoje-garaz-miejsca-postojowe-ID4Bxo4
Komfortowe 2 pokoje przy metrze Natolin,775000,15625,2,49.6,https://www.otodom.pl/pl/oferta/komfortowe-2-pokoje-przy-metrze-natolin-ID4BNm8
Dwupoziomowe 67m² | METRO PŁOCKA | Piękny widok | Pełna własność,1090000,16376,3,67,https://www.otodom.pl/pl/oferta/dwupoziomowe-67m-metro-plocka-piekny-widok-pelna-wlasnosc-ID4BuPS
3 pokoje z oddzielną widną kuchnią przy metrze,754000,14500,3,52,https://www.otodom.pl/pl/oferta/3-pokoje-z-oddzielna-widna-kuchnia-przy-metrze-ID4BNm7
Nowe 2 pokoje + GARAŻ/BOKS + 20min Centrum!_ Umów Spotkanie i ZOBACZ,540800,13520,2,40,https://www.otodom.pl/pl/oferta/nowe-2-pokoje-garaz-boks-20min-centrum-umow-spotkanie-i-zobacz-ID4BNm4
Kompaktowe 2 pok. mieszkanie nieopodal Łazienek,600000,20921,2,28.68,https://www.otodom.pl/pl/oferta/kompaktowe-2-pok-mieszkanie-nieopodal-lazienek-ID4BNm3
"Widne, funkcjonalne z balkonem, nowe budownictwo.",930000,24000,2,38.75,https://www.otodom.pl/pl/oferta/widne-funkcjonalne-z-balkonem-nowe-budownictwo-ID4BNm2
Komfortowe 3 pokoje w eleganckim budynku z basenem,2350000,28468,3,82.55,https://www.otodom.pl/pl/oferta/komfortowe-3-pokoje-w-eleganckim-budynku-z-basenem-ID4Bqvt
Komfortowe mieszkanie w stylu glamour,735000,21249,2,34.59,https://www.otodom.pl/pl/oferta/komfortowe-mieszkanie-w-stylu-glamour-ID4BBsH
"Ciche 3 pokoje w Wilanowie, 2 miejsca w garażu",2065000,19842,3,104.07,https://www.otodom.pl/pl/oferta/ciche-3-pokoje-w-wilanowie-2-miejsca-w-garazu-ID4BKmn
"Komfortowe, ciche 4 pokojowe mieszkanie na Woli",2410000,29390,4,82,https://www.otodom.pl/pl/oferta/komfortowe-ciche-4-pokojowe-mieszkanie-na-woli-ID4BhBg
Komfortowe dwa pokoje na starej Saskiej Kępie!,1290000,26942,2,47.88,https://www.otodom.pl/pl/oferta/komfortowe-dwa-pokoje-na-starej-saskiej-kepie-ID4Aqgl
Kompaktowe 3 pokoje w mini apartamentowcu,660000,22148,3,29.8,https://www.otodom.pl/pl/oferta/kompaktowe-3-pokoje-w-mini-apartamentowcu-ID4zAAH
2-pokojowe mieszkanie 41m2 + loggia Bezpośrednio,714916,17042,2,41.95,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-41m2-loggia-bezposrednio-ID4vrNN
1-pokojowe mieszkanie 31m2 + ogródek,577293,18515,1,31.18,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-31m2-ogrodek-ID4umD2
3-pokojowe mieszkanie 63m2 + loggia,847043,13325,3,63.57,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-63m2-loggia-ID4upQK
Jedyne takie miejsce w Warszawie | nad Wisłą,758400,19200,2,39.5,https://www.otodom.pl/pl/oferta/jedyne-takie-miejsce-w-warszawie-nad-wisla-ID4BDOg
2-pokojowe mieszkanie 35m2 + balkon Bez Prowizji,N/A,N/A,2,35.68,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-35m2-balkon-bez-prowizji-ID4AQ9c
Atrakcyjne Mieszkanie Na Dolnym Mokotowie / Balkon / Garaż,1330000,19910,3,66.8,https://www.otodom.pl/pl/oferta/atrakcyjne-mieszkanie-na-dolnym-mokotowie-balkon-garaz-ID4Bft0
Holm House | Pięknie wykończone mieszkanie,1745640,26000,3,67.14,https://www.otodom.pl/pl/oferta/holm-house-pieknie-wykonczone-mieszkanie-ID4BFLs
1-pokojowe mieszkanie 28m2 + balkon Bezpośrednio,514448,18038,1,28.52,https://www.otodom.pl/hpr/pl/oferta/1-pokojowe-mieszkanie-28m2-balkon-bezposrednio-ID4umet
Kawalerka po remoncie - bezpośrednio od właściciela,612000,25500,1,24,https://www.otodom.pl/pl/oferta/kawalerka-po-remoncie-bezposrednio-od-wlasciciela-ID4BCTk
"Targówek, ul. Korzona, 3 pokoje 83m, z miejscem parkingowym, loggia",960000,11566,3,83,https://www.otodom.pl/pl/oferta/targowek-ul-korzona-3-pokoje-83m-z-miejscem-parkingowym-loggia-ID4BFev
Dwupoziomowe 82 m² | Metro 200 m | 2 łazienki | Czynsz 950 zł,1269000,15476,3,82,https://www.otodom.pl/pl/oferta/dwupoziomowe-82-m-metro-200-m-2-lazienki-czynsz-950-zl-ID4zvMA
3-pokojowe mieszkanie 63m2 + loggia,847043,13325,3,63.57,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-63m2-loggia-ID4upQK
Jedyne takie miejsce w Warszawie | nad Wisłą,758400,19200,2,39.5,https://www.otodom.pl/pl/oferta/jedyne-takie-miejsce-w-warszawie-nad-wisla-ID4BDOg
2-pokojowe mieszkanie 35m2 + balkon Bez Prowizji,N/A,N/A,2,35.68,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-35m2-balkon-bez-prowizji-ID4AQ9c
Atrakcyjne Mieszkanie Na Dolnym Mokotowie / Balkon / Garaż,1330000,19910,3,66.8,https://www.otodom.pl/pl/oferta/atrakcyjne-mieszkanie-na-dolnym-mokotowie-balkon-garaz-ID4Bft0
Holm House | Pięknie wykończone mieszkanie,1745640,26000,3,67.14,https://www.otodom.pl/pl/oferta/holm-house-pieknie-wykonczone-mieszkanie-ID4BFLs
Atrakcyjny Apartament W Pobliżu Parku Szczęśliwickiego,1900000,20630,3,92.1,https://www.otodom.pl/pl/oferta/atrakcyjny-apartament-w-poblizu-parku-szczesliwickiego-ID4B0JA
"Jasny, wyjątkowy apartament z dużymi oknami i zabudową na wymiar",1479000,20542,3,72,https://www.otodom.pl/pl/oferta/jasny-wyjatkowy-apartament-z-duzymi-oknami-i-zabudowa-na-wymiar-ID4Apnj
Full wyposażone studio w samym sercu Warszawy. Zapraszam,698000,25410,1,27.47,https://www.otodom.pl/pl/oferta/full-wyposazone-studio-w-samym-sercu-warszawy-zapraszam-ID4BGpZ
"GOTOWE mieszkanie na ostatnim piętrze z wspaniałym TARASEM 12,23m2!",620000,14879,2,41.67,https://www.otodom.pl/pl/oferta/gotowe-mieszkanie-na-ostatnim-pietrze-z-wspanialym-tarasem-12-23m2-ID4BNl0
Loft w kamienicy Soho Factory|2 poziomy|4 pokoje,1299000,17320,4,75,https://www.otodom.pl/pl/oferta/loft-w-kamienicy-soho-factory-2-poziomy-4-pokoje-ID4BNl4
Dwupokojowe Nowoursynowska po remoncie,715000,19861,2,36,https://www.otodom.pl/pl/oferta/dwupokojowe-nowoursynowska-po-remoncie-ID4BNkP
2 Pokoje 10 min centrum,660000,16098,2,41,https://www.otodom.pl/pl/oferta/2-pokoje-10-min-centrum-ID4BNkS
Ciche mieszkanie w centrum Warszawy,2499000,35197,3,71,https://www.otodom.pl/pl/oferta/ciche-mieszkanie-w-centrum-warszawy-ID4BNkQ
"3 Pokoje | 46,2 m² | Mokotów",712000,15411,3,46.2,https://www.otodom.pl/pl/oferta/3-pokoje-46-2-m-mokotow-ID4BNkN
Dwupokojowe 48m² Plac Unii Lubelskiej,1055000,21979,2,48,https://www.otodom.pl/pl/oferta/dwupokojowe-48m-plac-unii-lubelskiej-ID4BNkM
"Mieszkanie 2 Pokojowe/35,60 m2/PKP/Balkon",746999,20983,1,35.6,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-35-60-m2-pkp-balkon-ID4BNkI
Miasteczko Wilanów 3 pokoje,1650000,20053,3,82.28,https://www.otodom.pl/pl/oferta/miasteczko-wilanow-3-pokoje-ID4BNkK
Kawalerka Plac Unii Lubelskiej,515000,19808,1,26,https://www.otodom.pl/pl/oferta/kawalerka-plac-unii-lubelskiej-ID4BNkL
2-pokojowe mieszkanie 45m2 + balkon Bezpośrednio,N/A,N/A,2,45.66,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-45m2-balkon-bezposrednio-ID4xBrO
"2 pokoje, 41m2, tylko 7 minut od Pałacu Kultury",599000,14539,2,41.2,https://www.otodom.pl/pl/oferta/2-pokoje-41m2-tylko-7-minut-od-palacu-kultury-ID4zHGF
Starówka - Prestiż I Ponadczasowa Wartość,1148000,22988,2,49.94,https://www.otodom.pl/pl/oferta/starowka-prestiz-i-ponadczasowa-wartosc-ID4Byca
"Wygodne 3 pokoje, balkon, garaż, winda - nowoczesny budynek!",693331,11496,3,60.31,https://www.otodom.pl/pl/oferta/wygodne-3-pokoje-balkon-garaz-winda-nowoczesny-budynek-ID4BuPE
"Eleganckie mieszkanie po generalnym remoncie | Śródmieście, Warszawa",850000,27832,2,30.54,https://www.otodom.pl/pl/oferta/eleganckie-mieszkanie-po-generalnym-remoncie-srodmiescie-warszawa-ID4BDUt
PROMOCJA blisko METRO Wierzbno + Tramwaj + Zobacz osiedle,754802,19656,2,38.4,https://www.otodom.pl/pl/oferta/promocja-blisko-metro-wierzbno-tramwaj-zobacz-osiedle-ID4BNkf
"Apartament 2 pokoje I 21 piętro I 42,9m2 I Garaż I Towarowa Towers",1796000,41806,2,42.96,https://www.otodom.pl/pl/oferta/apartament-2-pokoje-i-21-pietro-i-42-9m2-i-garaz-i-towarowa-towers-ID4BtG2
PROMOCJA blisko METRO Wierzbno + Hala Garażowa,1025907,16709,3,61.4,https://www.otodom.pl/pl/oferta/promocja-blisko-metro-wierzbno-hala-garazowa-ID4BNkd
Luksusowy 2-pok. Apartament w Towarowa Towers,1090000,32059,2,34,https://www.otodom.pl/pl/oferta/luksusowy-2-pok-apartament-w-towarowa-towers-ID4BNkc
Apartament premium w samym centrum Warszawy | Chmielna,1800000,40928,2,43.98,https://www.otodom.pl/pl/oferta/apartament-premium-w-samym-centrum-warszawy-chmielna-ID4BNkb
Bez prowizji | Komórka w cenie | Ogród 248 m2,1819000,21655,4,84,https://www.otodom.pl/pl/oferta/bez-prowizji-komorka-w-cenie-ogrod-248-m2-ID4BIkP
Chmielna Duo | Gotowiec inwestycyjny,1400000,35897,1,39,https://www.otodom.pl/pl/oferta/chmielna-duo-gotowiec-inwestycyjny-ID4BCsk
wykończone | wysoki standard | na wynajem | inwestycja | cicho,630000,21875,1,28.8,https://www.otodom.pl/pl/oferta/wykonczone-wysoki-standard-na-wynajem-inwestycja-cicho-ID4BrOo
4pokoje +Hala Garażowa Blisko METRO Karolin ☎️ Umów się na dni otwarte,832582,14232,4,58.5,https://www.otodom.pl/pl/oferta/4pokoje-hala-garazowa-blisko-metro-karolin-umow-sie-na-dni-otwarte-ID4BNjV
